Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;MATULJI;IVA LETINA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;MATULJI;MLADEN PRENC;;PGS, AM, UNIJA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;MATULJI;ENI ŠEBALJ;;ENI ŠEBALJ - KANDIDATKINJA GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;MOŠĆENIČKA DRAGA;AVELINO BARETIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;MOŠĆENIČKA DRAGA;RIKARDO STARAJ;;PGS, SDP
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;MRKOPALJ;JOSIP BROZOVIĆ;;JOSIP BROZOVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;MRKOPALJ;ROBERT STARČEVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;NOVI VINODOLSKI;TOMISLAV CVITKOVIĆ;;HDZ, HSS
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;NOVI VINODOLSKI;MIHAEL JOVANOVIĆ;;SDP, HSU
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OMIŠALJ;MIRELA AHMETOVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OMIŠALJ;DEAN GIROTTO;;HDZ, HNS
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OPATIJA;MARKO ĆORIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OPATIJA;IVO DUJMIĆ;;IVO DUJMIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OPATIJA;FERNANDO KIRIGIN;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OPATIJA;NEVA SLANI;;AM, UNIJA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OPATIJA;ALEN SRŠEN;;ALEN SRŠEN - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;OPATIJA;ANTE ŠTAMPALIJA;;IDS, KVARNERSKA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;PUNAT;ŽELJKO MATEJ MANZONI;;ŽELJKO MATEJ MANZONI - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;PUNAT;DANIEL STRČIĆ;;DANIEL STRČIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;PUNAT;MARINKO ŽIC;;SDP, PGS, HSU
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RAB;LUKA GRGURIĆ;;LUKA GRGURIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RAB;NIKOLA GRGURIĆ;;HDZ, HSS, RPS
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RAB;EROS GRUBIŠIĆ;;EROS GRUBIŠIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RAB;ZDENKO MATIJEVIĆ;;ZDENKO MATIJEVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RAVNA GORA;ANĐELKO FLORIJAN;;SDP, HSU
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RAVNA GORA;MIŠEL ŠĆUKA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RAVNA GORA;NENAD VIDMAR;;NENAD VIDMAR - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;ANTUN ANTUNOVIĆ;;ANTUN ANTUNOVIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;ANA BLEČIĆ JELENOVIĆ;;LISTA ZA RIJEKU - RI
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;HRVOJE BURIĆ;;BURA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;MARKO FILIPOVIĆ;;SDP, HSU, IDS, HSS
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;NIKOLA IVANIŠ;;PGS, LABURISTI
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;MARIN MILETIĆ;;MOST
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;JOSIP OSTROGOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;KATARINA PEOVIĆ;;RADNIČKA FRONTA - RF
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;DAVOR ŠTIMAC;;DAVOR ŠTIMAC - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;VEDRAN VIVODA;;AM, UNIJA
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;RIJEKA;NEBOJŠA ZELIČ;;MOŽEMO! - POLITIČKA PLATFORMA, NL
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;SKRAD;DANIJEL BERTOVIĆ;;DANIJEL BERTOVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;SKRAD;DAMIR GRGURIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;SKRAD;HELGA GRGURIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VINODOLSKA OPĆINA;SNJEŽANA DOMIJAN;;SDP, PGS, HSLS
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VINODOLSKA OPĆINA;DANIEL GRBIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VINODOLSKA OPĆINA;KRISTIJAN KOŠĆIĆ;;KRISTIJAN KOŠĆIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VINODOLSKA OPĆINA;IRENA UDOVIČIĆ;;IRENA UDOVIČIĆ - KANDIDATKINJA GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VINODOLSKA OPĆINA;BOŽIDAR ZUBČIĆ;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VIŠKOVO;BOJAN KURELIĆ;;AM, UNIJA, ALTERNATIVA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VIŠKOVO;TAMARA SMOKVINA;;KVARNERSKA, RI
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VIŠKOVO;ZLATKO ŠAKIĆ;;ZLATKO ŠAKIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VIŠKOVO;MARINA TOMIĆ PUJIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VIŠKOVO;SANJA UDOVIĆ;;SDP, PGS, HSS, HSU
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VRBNIK;DRAGAN ZAHIJA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VRBOVSKO;SAŠA BURIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VRBOVSKO;HELENA HLAVAČ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;VRBOVSKO;DRAŽEN MUFIĆ;;DRAŽEN MUFIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;KOSTRENA;MIRELA MARUNIĆ;;AM, UNIJA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;KOSTRENA;ZORAN RUBINIĆ;;SDP, PGS
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;KOSTRENA;MAŠA SMOKROVIĆ;;MAŠA SMOKROVIĆ - KANDIDATKINJA GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;KOSTRENA;DARKO TONKOVIĆ;;HDZ, HSLS
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;KOSTRENA;DRAŽEN VRANIĆ;;DRAŽEN VRANIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;LOPAR;ALBINA ANDREŠKIĆ;;MODERNA DEMOKRATSKA SNAGA - MODES
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;LOPAR;DINO IVANIĆ;;DINO IVANIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;PRIMORSKO-GORANSKA ŽUPANIJA;LOPAR;ZDENKO JAKUC;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;BRINJE;ZLATKO FUMIĆ;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;BRINJE;JOSIPA PAVLOVIĆ;;LiPO
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;ILIJA DRAŽIĆ;;ILIJA DRAŽIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;MARTINA DRAŽIĆ;;LiPO
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;ILIJA OBRADOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;DACO VLATKOVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;GOSPIĆ;IVAN STARČEVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;GOSPIĆ;KARLO STARČEVIĆ;;HRVATSKA STRANKA PRAVA - HSP
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;GOSPIĆ;MARIO STILINOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;GOSPIĆ;NIKOLA ŠIMUNIĆ;;LiPO
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;GOSPIĆ;MIRJANA VRKLJAN RADOŠEVIĆ;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;KARLOBAG;IVICA BAČIĆ;;LiPO
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;KARLOBAG;ROBERT LILION;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;KARLOBAG;BORIS SMOJVER;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;LOVINAC;PETAR MATOVINOVIĆ;;LiPO
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;LOVINAC;IVAN MILETIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;NOVALJA;ANTE DABO;;LiPO
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;NOVALJA;IVAN DABO;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;NOVALJA;JOSIP ŠKUNCA;;JOSIP ŠKUNCA - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;OTOČAC;GORAN BUKOVAC;;GORAN BUKOVAC - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;OTOČAC;JASNA ILIĆ;;DOMOVINSKI POKRET - DP
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;OTOČAC;NENAD JANKOVIĆ;;NENAD JANKOVIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;OTOČAC;STJEPAN KOSTELAC;;LiPO
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;OTOČAC;EDY SLADOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;PERUŠIĆ;BOŠKO STAPAR;;LiPO, HSLS
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;PERUŠIĆ;IVICA TURIĆ;;HDZ, HSS
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;SENJ;SINIŠA CVJETKOVIĆ;;SINIŠA CVJETKOVIĆ - KANDIDAT GRUPE BIRAČA
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;SENJ;ŽELJKO NEKIĆ;;LiPO
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;SENJ;ILEANA TOMLJANOVIĆ;;ILEANA TOMLJANOVIĆ - KANDIDATKINJA GRUPE BIRAČA
GRADONAČELNIK;LIČKO-SENJSKA ŽUPANIJA;SENJ;JURICA TOMLJANOVIĆ;;HDZ, HBS, HSS
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;PLITVIČKA JEZERA;SINIŠA BUDIMIR;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;PLITVIČKA JEZERA;ANTE KOVAČ;;ANTE KOVAČ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;PLITVIČKA JEZERA;ZDENKO MIŠIĆ;;LiPO
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;PLITVIČKA JEZERA;TOMISLAV UŽAREVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;UDBINA;JOSIP SEUČEK;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;LIČKO-SENJSKA ŽUPANIJA;VRHOVINE;MILORAD DELIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;CRNAC;MATO DAMJAN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;CRNAC;ROMANO LONČAREVIĆ;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ČAČINCI;IVAN JERBIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ČAČINCI;ALEN JURENAC;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ČAĐAVICA;KATARINA BENETA;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ČAĐAVICA;BRANKO KARAMARKOVIĆ;;HRVATSKA SELJAČKA STRANKA - HSS
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ČAĐAVICA;DAMIR PREMEC;;DOMOVINSKI POKRET - DP
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ČAĐAVICA;MIRKO RONČEVIĆ;;HDZ, HSLS
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;GRADINA;MARKO AJČEK;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;GRADINA;JOSIP VUČEMILOVIĆ-JURIĆ;;JOSIP VUČEMILOVIĆ-JURIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;LUKAČ;ĐURO BUKVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;LUKAČ;IVAN MAREKOVIĆ;;IVAN MAREKOVIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;MIKLEUŠ;ROBERT GRABAR;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;MIKLEUŠ;ALEN MAZALICA;;SDP, HSS
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;NOVA BUKOVICA;VINKA BOKORNI;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;NOVA BUKOVICA;TOMISLAV BRAČUN;;SDP, HSS
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ORAHOVICA;JURAJ FOFONJKA;;STRANKA UMIROVLJENIKA - SU
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ORAHOVICA;LANA JURKIN;;HRVATSKA SELJAČKA STRANKA - HSS
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ORAHOVICA;RADOJE MEDENICA;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ORAHOVICA;ANA-MARIJA PETIN;;ANA-MARIJA PETIN - KANDIDATKINJA GRUPE BIRAČA
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ORAHOVICA;SAŠA RISTER;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ORAHOVICA;VALENTINA ŠPALJ;;VALENTINA ŠPALJ - KANDIDATKINJA GRUPE BIRAČA
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ORAHOVICA;DARKO ŽUŽAK;;DARKO ŽUŽAK - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;PITOMAČA;ZDRAVKO DIJAKOVIĆ;;DP, ZELENA LISTA, HSS BRAĆE RADIĆ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;PITOMAČA;ŽELJKO GRGAČIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;PITOMAČA;ZLATKO MAJSTOR;;HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;SLATINA;IGOR FAZEKAŠ;;HDZ, HSLS
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;SLATINA;SANJA MRZLJAK JOVANIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;SLATINA;DENIS OSTROŠIĆ;;DOMOVINSKI POKRET - DP
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;SLATINA;DARIO VRBASLIJA;;FOKUS
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;SOPJE;BERISLAV ANDROŠ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;SUHOPOLJE;SINIŠA HORVAT;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ŠPIŠIĆ BUKOVICA;SLAVKO MAJSTOROVIĆ;;ZELENA LISTA, DP
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ŠPIŠIĆ BUKOVICA;HRVOJE MILER;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;VIROVITICA;VLADIMIR BESEK;;DP, HSU
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;VIROVITICA;IVICA KIRIN;;HDZ, HSLS
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;VIROVITICA;DRAŽEN KUREČIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;VIROVITICA;SINIŠA PRPIĆ;;HSPD, MOST
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;VOĆIN;PREDRAG FILIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ZDENCI;MATO BARUKČIĆ;;MATO BARUKČIĆ - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ZDENCI;TOMISLAV DURMIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;VIROVITIČKO-PODRAVSKA ŽUPANIJA;ZDENCI;ANTONIO GARIĆ;;DP, SU
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;BRESTOVAC;IGOR ČANČAR;;IGOR ČANČAR - KANDIDAT GRUPE BIRAČA
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;BRESTOVAC;ZDRAVKO MANDIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;BRESTOVAC;IGOR SMOLJANOVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;ČAGLIN;DALIBOR BARDAČ;;HDZ, HSU
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;ČAGLIN;ŽARKO NEMEČEK;;HDSSB, DP
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;JAKŠIĆ;IVICA KOVAČEVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
OPĆINSKI NAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;KAPTOL;MILE PAVIČIĆ;;HDZ, HSS, HSU
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;KUTJEVO;JOSIP BUDIMIR;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;KUTJEVO;MAGDALENA KRIŽANOVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;KUTJEVO;DAMIR RAZUMOVIĆ;;DP, MOST
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;LIPIK;VINKO KASANA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;LIPIK;TOMISLAV LNENIČEK;;DOMOVINSKI POKRET - DP
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;PAKRAC;ANAMARIJA BLAŽEVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;PLETERNICA;SLAVKO BONIĆ;;HRVATSKA STRANKA PRAVA - HSP
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;PLETERNICA;MIRELA MEZAK MATIJEVIĆ;;DP, MOST
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;PLETERNICA;MARIJA ŠARIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;POŽEGA;ŽELJKO GLAVIĆ;;HDZ, HSU
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;POŽEGA;DIJANA KRPAN;;DOMOVINSKI POKRET - DP
GRADONAČELNIK;POŽEŠKO-SLAVONSKA ŽUPANIJA;POŽEGA;MITAR OBRADOVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
