Vrsta izbora;Naziv županije;Naziv grada/općine;rbr;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;1;DOMAGOJ LOVRIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;2;BARBARA KNEŽEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;3;DAMIR ČIČKO;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;4;ANTONIO MARINA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;5;LJILJANA MAVRAČIĆ TIŠMA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;6;LUKA TKALČEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;7;BRANKO CIKOJEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;8;RUŽA MILETIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;9;MAKSIMILIJAN JAREC;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;10;ZDENKO JURAK;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;11;KRUNOSLAV HRVAČIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;12;IVICA KAURIN;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;13;CHRISTIAN VARGA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;14;SILVIJA BLAŽEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;15;JADRANKA ŠIMUNOVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;16;IVAN MEDVIDOVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;17;DRAŽEN SALAJ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;18;LJILJANA POPOVAČKI RAČIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;19;DRAŽEN BRNJAS;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;20;KAZIMIR IŠTUK;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;21;SAŠA PETRI;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;22;ALEN VOJVODIĆ DUMIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;23;SANDRA RICHTER;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;24;MARTA VIDAKOVIĆ-MUKIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;25;SARA HULINA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;26;FRANJO FABEKOVEC;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;27;DARIO OTMAČIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;28;VIŠNJA STOJAK;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;29;MARKO VULELIJA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;30;TVRTKO TUNJIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;31;ANITA ŠANTAK;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;32;VJEKOSLAV IŽA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;33;ANTE HERCEG;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;34;SINIŠA MARINCLIN;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;35;IVANA MARŠALKO;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;36;NEĐELJKA BATINOVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;37;SNJEŽANA JOSIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;38;DUNJA PENIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;39;ZLATAN PAJSER;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;40;JOSIP GALIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;41;KSENIJA RATKAJEC;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;42;IVANKA TAČKOVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;43;BRIGITA MLIKOTA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;44;ZDENKO HEMEN;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;45;NIKOLINA SLIŠKOVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;46;DARKO MARTINOVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;47;ZVONIMIR LOVRIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;1;DARIO ZUROVEC;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;2;NENAD PANIAN;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;3;HRVOJE KOŠĆEC;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;4;MARKO MAGDIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;5;MARIO BUDIŠĆAK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;6;PETRA ŠKROBOT;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;7;ANA BOLŠEC;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;8;IVANA PUKLJAK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;9;BORIS SAVIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;10;MATIJA TEUR;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;11;VALENTINO GALIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;12;IBRAHIM TICA;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;13;GABRIJEL DEAK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;14;MARIJA KRALJ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;15;MATEJ VRDOLJAK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;16;MARKO MATIJAŠČIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;17;MARIO PŠENIČNJAK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;18;JOSIP HLEVNJAK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;19;DEJAN PRGIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;20;MATEA KALAMIR;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;21;DRAŽEN JERKO;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;22;ANDRIJANA IVIČEK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;23;KRUNO BLAŽINOVIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;24;ŽELJKA JAREC BUKAL;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;25;PETRA MOŠNIČKA BOŽIČEVIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;26;DENIS MECZNER;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;27;IGOR POŽEG;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;28;MARIJA HRŠAK;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;29;KREŠIMIR CVIJANOVIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;30;JOSIP ZEKIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;31;MARIO GRDENIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;32;SANDRA STARJAČKI;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;33;LUCIJA SAVANOVIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;34;IVANA RADAKOVIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;35;DUBRAVKO PONOŠ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;36;ANA ROGIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;37;ANDJELKO ŠEKETA;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;38;SABRINA PEJIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;39;KRISTINA GELO;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;40;TOMISLAV PETRAVIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;41;ZLATKO MATACUN;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;42;JOSIP GRUBEŠA;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;43;ZDRAVKA GRDENIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;44;MIRELA SLAMAR;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;45;DANIELA HORVAT;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;46;MARTINA PAJAČ BEUS;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;47;MATEA MAGDIĆ;;FOKUS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;1;GORAN BEUS-RICHEMBERGH;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;2;KREŠIMIR DRAŽETIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;3;STELA DRAGICA SVRAČAK;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;4;NIKOLA KUNC;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;5;TAMARA KUČKO;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;6;EDMOND KRUSHA;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;7;PERO JOSIPOVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;8;BRUNO ŠANTEK;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;9;NADICA KOLOŠA;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;10;DARKO HRDAN;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;11;IMBRO BERKEŠ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;12;MARIJA GRUBIŠIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;13;KARLO LONČAREVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;14;SAFIJA DENKWITZ CERIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;15;JURO ŠOKČEVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;16;ANAMARIJA ŠTENGL;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;17;JOSIP LEKTORIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;18;DANIJELA BUŠIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;19;MUSTAFA FORTO;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;20;MAJA MITROVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;21;GORAN BINDER;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;22;SNJEŽANA KUNC;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;23;NENAD KURI;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;24;ŠTEFA BAKOTA;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;25;DRAŠKO RADUSINOVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;26;LIDIJA FILIPOVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;27;MIJO JAKUNIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;28;DRAGICA RAKO ZENIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;29;OLIVER ŠTENGL;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;30;BARA MITROVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;31;SNJEŽANA POPOVIĆ-MILIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;32;TOMISLAV ŠPOLJAR;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;33;BORIS AVGUSTINOVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;34;DUŠANKA GARAČA;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;35;ANDRIJA BUKLIJAŠ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;36;ALEKSANDRA KAJGANA RAGA;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;37;JOSIP BUŠIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;38;IVOR BEUS-RICHEMBERGH;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;39;MARTINA RENDULIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;40;STJEPAN KUNIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;41;PETAR DEVERIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;42;JOZO ŠOKČEVIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;43;MILE GRUBIŠIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;44;SENKA ŠTENGL;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;45;VJEKOSLAV BAKOTA;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;46;EDIN CERIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;47;BOŽICA VRBANIĆ;;GRAĐANSKO-LIBERALNI SAVEZ - GLAS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;1;ŽELJKO TURK;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;2;MATO ČIČAK;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;3;JAVOR BOJAN LEŠ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;4;ERVIN KOLAREC;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;5;DAMIR TOMLJENOVIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;6;TOMISLAV MASTEN;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;7;VLADO ŽIGROVIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;8;DAMIR HALUŽAN;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;9;MARIO CVITAN;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;10;TOMISLAV LANDEKA;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;11;SANJA BOROVEC;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;12;DAMIR SESVEČAN;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;13;ANDREJ KRLIN;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;14;DARJAN BUDIMIR;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;15;TOMISLAV OKROŠA;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;16;MILJENKO VUČKOVIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;17;BRANKO PETRINEC;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;18;BRUNO PERKOVIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;19;MARIN ŠTRITOF;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;20;MILJENKO PAVLAKOVIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;21;MARICA JANČIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;22;MARIO KARAPANDŽIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;23;JASMINKA MATAUŠIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;24;BRANKO ŠAFRAN;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;25;ANKICA ČIŽMEK;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;26;DANIJEL DRVIŠ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;27;ERVIN VUJICA;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;28;MARIJANA IVANJEK ŠKRBEC;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;29;RENATA GLOJNARIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;30;ANITA SUŠAC;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;31;ŽELJKO PONGRAC;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;32;NIKOLINA PERKO;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;33;MATEJA ŠIMEK;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;34;IVANA MARTINOVIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;35;KATARINA STEPUŠIN GRUIČIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;36;PAULINA RAUŽAN;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;37;ZLATKO TURKOVIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;38;ZDENKA ZAKARIJA;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;39;MARIO ŠIPUŠIĆ;;HDZ, HSU, HNS, HSLS
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;40;MANUELA PAVINA;;HDZ, HSU, HNS, HSLS
