Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;KARLOVAČKA ŽUPANIJA;KRNJAK;KARLO PAVLOVIĆ;;KARLO PAVLOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;OGULIN;SINIŠA LJUBOJEVIĆ;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;OGULIN;NEVEN VUJNOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;PLAŠKI;MILAN JOVETIĆ;;SDP, DSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;PLAŠKI;MARA ŠUPICA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;SABORSKO;NIKOLA GRBA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;KARLOVAČKA ŽUPANIJA;VOJNIĆ;JOSIP KURTOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;RASINJA;NIKICA ŠTIBIĆ;;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
ZAMJENIK GRADONAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DARUVAR;VLADIMIR BILEK;;VLADIMIR BILEK - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DEŽANOVAC;KRISTINA KUBIŠTA;;KRISTINA KUBIŠTA - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DEŽANOVAC;SLAVKO NEHVATAL;;SLAVKO NEHVATAL - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DEŽANOVAC;ZDENKO PIHIR;;ZDENKO PIHIR - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;GRUBIŠNO POLJE;ANA-MARIA ŠTRUML-TUČEK;;ANA-MARIA ŠTRUML-TUČEK - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;KONČANICA;FRANJO BEREČKI;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;KONČANICA;JAROSLAV KOČI;;JAROSLAV KOČI - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;VRBOVSKO;ĐORĐE BUSIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;VRBOVSKO;NEMANJA MUSULIN;;NEMANJA MUSULIN - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;KREŠIMIR FORJAN;;LiPO
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;MIRO TOMIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;LOVINAC;MARTINA BRAJKOVIĆ;;MARTINA BRAJKOVIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;LOVINAC;EVELINA JAPUNDŽIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;LOVINAC;BRANKA VESELINOVIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;PLITVIČKA JEZERA;MILAN PRICA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;LIČKO-SENJSKA ŽUPANIJA;UDBINA;MARINA GUČANIN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;LIČKO-SENJSKA ŽUPANIJA;UDBINA;IVANA KRMPOTIĆ;;LiPO
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;POŽEŠKO-SLAVONSKA ŽUPANIJA;PAKRAC;MIRSADA POPOVIĆ DAMJANOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;BRODSKO-POSAVSKA ŽUPANIJA;OKUČANI;SINIŠA MARTINOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;BRODSKO-POSAVSKA ŽUPANIJA;DRAGALIĆ;RADE BOSANAC;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;BRODSKO-POSAVSKA ŽUPANIJA;DRAGALIĆ;RANKA MILOJKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;ZADARSKA ŽUPANIJA;GRAČAC;BOJANA LUKIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;ZADARSKA ŽUPANIJA;GRAČAC;NEBOJŠA RAĐENOVIĆ;;SDSS, DSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;ZADARSKA ŽUPANIJA;OBROVAC;RADOVAN ČIČA;;RADOVAN ČIČA - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;ZADARSKA ŽUPANIJA;OBROVAC;STANKO MIJIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;ZADARSKA ŽUPANIJA;OBROVAC;DRAGAN MILANKO;;DRAGAN MILANKO - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;BELI MANASTIR;NENAD MENIČANIN;;NENAD MENIČANIN - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;BELI MANASTIR;SVETLANA ŽARKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
