naziv	zupnija	mjesto	adresa	ravnatelj	web	ravnatelj_spol
Osnovna škola ZADARSKI OTOCI - Zadar	Zadarska županija	Zadar	Trg Damira Tomljanovića Gavrana 2	Davor  Barić	http://os-zadarski-otoci-zd.skole.hr/	m
OSNOVNA ŠKOLA POLIČNIK	Zadarska županija	Poličnik	Ulica Dr. Franje Tuđmana 68	Elvis  Alić	NA	m
Osnovna škola Pakoštane	Zadarska županija	Pakoštane	BANA JOSIPA JELAČIĆA 1	Andrija  Vanjak	http://www.os-pakostane.skole.hr/	m
Osnovna škola Ivan Goran Kovačić	Osječko-baranjska županija	Đakovo	KRALJA TOMISLAVA 25	Ante  Andabak	http://os-igkovacic-dj.skole.hr/	m
Osnovna škola Vladimir Nazor	Osječko-baranjska županija	Đakovo	KRALJA TOMISLAVA 18	Andrija  Šušak	NA	m
Osnovna škola Ivana Filipovića	Osječko-baranjska županija	Osijek	KALNIČKA 48	Zlatko  Kraljević	NA	m
Osnovna škola "Matija Gubec"	Osječko-baranjska županija	Čeminac	KOLODVORSKA 48	Zdravko  Pavlinić	NA	m
Osnovna škola Kneževi Vinogradi	Osječko-baranjska županija	Kneževi Vinogradi	Glavna 44	Ivica  Prgomet	http://www.os-knezevi-vinogradi.skole.hr/	nepoznato
Osnovna škola Bratoljuba Klaića	Osječko-baranjska županija	Bizovac	Ulica Dr. Franje Tuđmana 1.	Ante  Lovrinčević	http://os-bklaica-bizovac.skole.hr/	m
Osnovna škola Milka Cepelića	Osječko-baranjska županija	Vuka	MILKA CEPELIĆA 1	Danijel  Slobođanac	http://os-mcepelica-vuka.skole.hr/skola	m
OSNOVNA ŠKOLA LUKA BOTIĆ	Osječko-baranjska županija	Viškovci	OMLADINSKA 4	Ante  Lagator	https://www.os-lbotic-viskovci.skole.hr	m
OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA PETROPOLJSKOG	Šibensko-kninska županija	Drniš	ANTUNA MIHANOVIĆA 4	Saša  Kolombo	http://os-ampetropoljskog-drnis.skole.hr/	m
Osnovna škola Jakova Gotovca	Šibensko-kninska županija	Unešić	PUT ŠKOLE 5	Živko  Bulat	os-jgotovca-unesic.skole.hr	m
OSNOVNA ŠKOLA ANTUNA BAUERA	Vukovarsko-srijemska županija	Vukovar	Augusta Šenoe 19	Zlatko  Milić	http://os-abauera-vu.skole.hr	m
Osnovna škola Antun i Stjepan Radić	Vukovarsko-srijemska županija	Gunja	MIROSLAVA KRLEŽE 2	Stipica  Mišura	http://os-antunistjepanradic-gunja.skole.hr/, https://www.facebook.com/OSGunja/	nepoznato
Osnovna škola August Cesarec	Vukovarsko-srijemska županija	Ivankovo	Trg bana Jelačića 15	Željko  Puljić	NA	m
Osnovna škola Stjepana Cvrkovića	Vukovarsko-srijemska županija	Stari Mikanovci	VLADIMIRA NAZORA 18 A	Đuro  Škrget	NA	m
OSNOVNA ŠKOLA VJEKOSLAVA PARAĆA	Splitsko-dalmatinska županija	Solin	Dudini 17	Đuro  Baloević	http://os-vparac-solin.skole.hr	m
Osnovna škola ˝Bol˝	Splitsko-dalmatinska županija	Split	Hrvatskih iseljenika 10	Davor  Bučević	NA	m
Osnovna škola BLATINE-ŠKRAPE	Splitsko-dalmatinska županija	Split	NA KRIŽICE 2	Nives  Ruščić	NA	z
Osnovna škola Mertojak	Splitsko-dalmatinska županija	Split	DOVERSKA 44	Ines  Budić	NA	z
Osnovna škola "Lokve-Gripe"	Splitsko-dalmatinska županija	Split	STEPINČEVA 12	Davor  Šimić	http://os-gripe-st.skole.hr	m
Osnovna škola ŽRNOVNICA	Splitsko-dalmatinska županija	Žrnovnica	HRVATSKIH VELIKANA 41	Matija  Šitum	www.os-zrnovnica-st.skole.hr	z
Osnovna škola Kralja Zvonimira	Splitsko-dalmatinska županija	Seget Donji	Hrvatskih žrtava 92	Dominik  Matković	NA	m
